label,implementation,number
Bryan Bishop,Core(bitcoin.team),1
Chirag Davé,Core(bitcoin.team),1
Chris Arnesen,Core(bitcoin.team),1
Chris Stewart,Core(bitcoin.team),1
Chris Wheeler,Core(bitcoin.team),1
Christian Barcenas,Core(bitcoin.team),1
Chuck,Core(bitcoin.team),1
Clinton Christian,Core(bitcoin.team),1
Corinne Dashjr,Core(bitcoin.team),1
Dagur Valberg Johannsson,Core(bitcoin.team),1
Daira Hopwood,Core(bitcoin.team),1
Dan Helfman,Core(bitcoin.team),1
Daniel Holbert,Core(bitcoin.team),1
Daniel Newton,Core(bitcoin.team),1
David A. Harding,Core(bitcoin.team),1
David Griffith,Core(bitcoin.team),1
David Grogan,Core(bitcoin.team),1
David Serrano,Core(bitcoin.team),1
Denis Lukianov,Core(bitcoin.team),1
Derek Miller,Core(bitcoin.team),1
Derek701,Core(bitcoin.team),1
Diego Viola,Core(bitcoin.team),1
Dimitris Tsapakidis,Core(bitcoin.team),1
Douglas Huff,Core(bitcoin.team),1
Drak,Core(bitcoin.team),1
Earlz,Core(bitcoin.team),1
Elias Rohrer,Core(bitcoin.team),1
Elliot Olds,Core(bitcoin.team),1
Eric S. Bullington,Core(bitcoin.team),1
Eric Shaw Jr,Core(bitcoin.team),1
Eric Swanson,Core(bitcoin.team),1
Everett Forth,Core(bitcoin.team),1
Fabian H jr.,Core(bitcoin.team),1
Fabian Raetz,Core(bitcoin.team),1
Francesco 'makevoid' Canessa,Core(bitcoin.team),1
Geoffrey Tsui,Core(bitcoin.team),1
Glenn Willen,Core(bitcoin.team),1
Greg Griffith,Core(bitcoin.team),1
Greg Walker,Core(bitcoin.team),1
Haakon Nilsen,Core(bitcoin.team),1
HarryWu,Core(bitcoin.team),1
Heath,Core(bitcoin.team),1
Hector Jusforgues,Core(bitcoin.team),1
Ian T,Core(bitcoin.team),1
Isidoro Ghezzi,Core(bitcoin.team),1
Ivan Pustogarov,Core(bitcoin.team),1
Ivo van der Sangen,Core(bitcoin.team),1
J Ross Nicoll,Core(bitcoin.team),1
James Burkle,Core(bitcoin.team),1
Joel Kaartinen,Core(bitcoin.team),1
Joerie de Gram,Core(bitcoin.team),1
Johannes Henninger,Core(bitcoin.team),1
Julian Haight,Core(bitcoin.team),1
Julian Langschaedel,Core(bitcoin.team),1
Kewde,Core(bitcoin.team),1
Khalahan,Core(bitcoin.team),1
Kosta Zertsekel,Core(bitcoin.team),1
Leviathn,Core(bitcoin.team),1
LongShao007,Core(bitcoin.team),1
Luke,Core(bitcoin.team),1
Luv Khemani,Core(bitcoin.team),1
Marcel Krüger,Core(bitcoin.team),1
Marco,Core(bitcoin.team),1
Marcos Mayorga,Core(bitcoin.team),1
Marijn Stollenga,Core(bitcoin.team),1
Masahiko Hyuga,Core(bitcoin.team),1
Mathy Vanvoorden,Core(bitcoin.team),1
Matt,Core(bitcoin.team),1
Matt Quinn,Core(bitcoin.team),1
Matthew Bogosian,Core(bitcoin.team),1
Matthew English,Core(bitcoin.team),1
Matthias Grundmann,Core(bitcoin.team),1
Meeh,Core(bitcoin.team),1
Michael,Core(bitcoin.team),1
Michael Bauer,Core(bitcoin.team),1
Michael Goldstein,Core(bitcoin.team),1
Mike Cassano,Core(bitcoin.team),1
Mikerah,Core(bitcoin.team),1
Misbakh-Soloviev Vadim A,Core(bitcoin.team),1
Nick,Core(bitcoin.team),1
Nick Bosma,Core(bitcoin.team),1
Nicolas DORIER,Core(bitcoin.team),1
Nicolas Dorier,Core(bitcoin.team),1
Noel Tiernan,Core(bitcoin.team),1
Olivier Langlois,Core(bitcoin.team),1
Patrick Varilly,Core(bitcoin.team),1
Paul Georgiou,Core(bitcoin.team),1
Peter Josling,Core(bitcoin.team),1
Petter Reinholdtsen,Core(bitcoin.team),1
Prayag Verma,Core(bitcoin.team),1
Puru,Core(bitcoin.team),1
Rav3nPL,Core(bitcoin.team),1
René Nyffenegger,Core(bitcoin.team),1
Ricardo Velhote,Core(bitcoin.team),1
Rob Van Mieghem,Core(bitcoin.team),1
Robert McLaughlin,Core(bitcoin.team),1
Ruben Dario Ponticeli,Core(bitcoin.team),1
Ruben de Vries,Core(bitcoin.team),1
Rubén Darío Ponticelli,Core(bitcoin.team),1
Rune K Svendsen,Core(bitcoin.team),1
Ryan Niebur,Core(bitcoin.team),1
S. Matthew English,Core(bitcoin.team),1
Sanjay Ghemawat,Core(bitcoin.team),1
Sergey Kazenyuk,Core(bitcoin.team),1
Sev,Core(bitcoin.team),1
Shane Wegner,Core(bitcoin.team),1
Simon Males,Core(bitcoin.team),1
Simon de la Rouviere,Core(bitcoin.team),1
Simone Madeo,Core(bitcoin.team),1
Stanislas Marion,Core(bitcoin.team),1
Stephane Glondu,Core(bitcoin.team),1
Stephen,Core(bitcoin.team),1
Stuart Cardall,Core(bitcoin.team),1
Subo1978,Core(bitcoin.team),1
Takashi Mitsuta,Core(bitcoin.team),1
Tariq Bashir,Core(bitcoin.team),1
Teran McKinney,Core(bitcoin.team),1
TheLazieR Yip,Core(bitcoin.team),1
Timothy Stranex,Core(bitcoin.team),1
Trevin Hofmann,Core(bitcoin.team),1
Veres Lajos,Core(bitcoin.team),1
Victor Leschuk,Core(bitcoin.team),1
Virgil Dupras,Core(bitcoin.team),1
Vitalii Demianets,Core(bitcoin.team),1
William Yager,Core(bitcoin.team),1
Wladimir van der Laan,Core(bitcoin.team),1
adlawren,Core(bitcoin.team),1
antonio-fr,Core(bitcoin.team),1
ayeowch,Core(bitcoin.team),1
azeteki,Core(bitcoin.team),1
b6393ce9-d324-4fe1-996b-acf82dbc3d53,Core(bitcoin.team),1
bikinibabe,Core(bitcoin.team),1
bitsofproof,Core(bitcoin.team),1
calebogden,Core(bitcoin.team),1
cardpuncher,Core(bitcoin.team),1
charlescharles,Core(bitcoin.team),1
coblee,Core(bitcoin.team),1
darksh1ne,Core(bitcoin.team),1
djpnewton,Core(bitcoin.team),1
dllud,Core(bitcoin.team),1
error10,Core(bitcoin.team),1
gjs278,Core(bitcoin.team),1
jl2012,Core(bitcoin.team),1
jloughry,Core(bitcoin.team),1
jmacwhyte,Core(bitcoin.team),1
justmoon,Core(bitcoin.team),1
kevin,Core(bitcoin.team),1
keystrike,Core(bitcoin.team),1
kirit93,Core(bitcoin.team),1
kirkalx,Core(bitcoin.team),1
langerhans,Core(bitcoin.team),1
laszloh,Core(bitcoin.team),1
leijurv,Core(bitcoin.team),1
lizhi,Core(bitcoin.team),1
maiiz,Core(bitcoin.team),1
mark,Core(bitcoin.team),1
matthias,Core(bitcoin.team),1
nomnombtc,Core(bitcoin.team),1
ntrgn,Core(bitcoin.team),1
peryaudo,Core(bitcoin.team),1
philsong,Core(bitcoin.team),1
pryds,Core(bitcoin.team),1
pstratem,Core(bitcoin.team),1
randy-waterhouse,Core(bitcoin.team),1
rodasmith,Core(bitcoin.team),1
rxl,Core(bitcoin.team),1
sandakersmann,Core(bitcoin.team),1
sandos,Core(bitcoin.team),1
shaolinfry,Core(bitcoin.team),1
sje,Core(bitcoin.team),1
svost,Core(bitcoin.team),1
tm314159,Core(bitcoin.team),1
tnaka,Core(bitcoin.team),1
tucenaber,Core(bitcoin.team),1
tulip,Core(bitcoin.team),1
vhf / victor felder,Core(bitcoin.team),1
wodry,Core(bitcoin.team),1
zathras-crypto,Core(bitcoin.team),1
ロハン ダル,Core(bitcoin.team),1
evoskuil,Libbitcoin,2,249
genjix,Libbitcoin,709
pmienk,Libbitcoin,156
swansontec,Libbitcoin,90
thecodefactory,Libbitcoin,43
kdomanski,Libbitcoin,36
PabloCastellano,Libbitcoin,24
phantomcircuit,Libbitcoin,23
RojavaCrypto,Libbitcoin,19
Bobalot,Libbitcoin,9
wlbentley,Libbitcoin,5
png85,Libbitcoin,4
mlmikael,Libbitcoin,2
veox,Libbitcoin,2
shunyata,Libbitcoin,2
shawnpringle,Libbitcoin,2
kevinejohn,Libbitcoin,1
alexreg,Libbitcoin,1
bardiharborow,Libbitcoin,1
lclc,Libbitcoin,1
rafalkrupinski,Libbitcoin,1
changlan,Libbitcoin,1
atweiden,Libbitcoin,1
benhc123,Libbitcoin,1
jaromil,Libbitcoin,1
omidaladini,Libbitcoin,1
xnox,Libbitcoin,1
debris,Parity,370
NikVolf,Parity,254
svyatonik,Parity,251
General-Beck,Parity,17
nicolasochem,Parity,4
chritchens,Parity,2
elopio,Parity,1
Melvillian,Parity,1
gavofyork,Parity,1
